,movieId,title,genres,rating,tag
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,3.9209302325581397,"['pixar', 'pixar', 'fun']"
1,2,Jumanji (1995),Adventure|Children|Fantasy,3.4318181818181817,"['fantasy', 'magic board game', 'robin williams', 'game']"
2,3,Grumpier Old Men (1995),Comedy|Romance,3.2596153846153846,"['moldy', 'old']"
3,5,Father of the Bride Part II (1995),Comedy,3.0714285714285716,"['pregnancy', 'remake']"
4,7,Sabrina (1995),Comedy|Romance,3.185185185185185,['remake']
5,11,"American President, The (1995)",Comedy|Drama|Romance,3.6714285714285713,"['politics', 'president']"
6,14,Nixon (1995),Drama,3.8333333333333335,"['politics', 'president']"
7,16,Casino (1995),Crime|Drama,3.926829268292683,['mafia']
8,17,Sense and Sensibility (1995),Drama|Romance,3.7761194029850746,['jane austen']
9,21,Get Shorty (1995),Comedy|Crime|Thriller,3.49438202247191,['hollywood']
10,22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,3.2222222222222223,['serial killer']
11,25,Leaving Las Vegas (1995),Drama|Romance,3.625,['alcoholism']
12,26,Othello (1995),Drama,3.5,['shakespeare']
13,28,Persuasion (1995),Drama|Romance,4.2272727272727275,"['in netflix queue', 'jane austen']"
14,29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,4.0131578947368425,['kidnapping']
15,31,Dangerous Minds (1995),Drama,3.1842105263157894,"['high school', 'teacher']"
16,32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,3.983050847457627,"['time travel', 'time travel', 'brad pitt', 'bruce willis', 'mindfuck', 'post apocalyptic', 'post-apocalyptic', 'remake', 'time travel', 'twist ending']"
17,34,Babe (1995),Children|Drama,3.65234375,"['animal movie', 'pigs', 'villain nonexistent or not needed for good story']"
18,36,Dead Man Walking (1995),Crime|Drama,3.8358208955223883,"['death penalty', 'nun']"
19,38,It Takes Two (1995),Children|Comedy,2.125,['twins']
20,39,Clueless (1995),Comedy|Romance,3.293269230769231,"['chick flick', 'funny', 'paul rudd', 'quotable', 'seen more than once', 'emma', 'jane austen']"
21,40,"Cry, the Beloved Country (1995)",Drama,4.25,"['in netflix queue', 'south africa']"
22,41,Richard III (1995),Drama|War,3.7,['shakespeare']
23,43,Restoration (1995),Drama,3.1875,['england']
